filename,sample
pp_full_6_18_26.txt,Full
pp_half_6_22_26.txt,Half
pp_quarter_6_22_26.txt,Quarter
pp_eighth_6_22_26.txt,Eighth
pp_sixteenth_6_22_26.txt,Sixteenth
pp_thirty-second_6_22_26.txt,Thirty-second
